Code,Description
AF,Ashfall
AS,Air Stagnation
BH,Beach Hazard
BS,Blowing Snow
BW,Brisk Wind
BZ,Blizzard
CF,Coastal Flood
CW,Cold Weather
DF,Debris Flow
DS,Dust Storm
DU,Blowing Dust
EC,Extreme Cold
EH,Excessive Heat
EW,Extreme Wind
FA,Flood
FF,Flash Flood
FG,Dense Fog
FL,Flood
FR,Frost
FW,Red Flag
FZ,Freeze
UP,Freezing Spray
GL,Gale
HF,Hurricane Force Wind
HI,Inland Hurricane
HS,Heavy Snow
HT,Heat
HU,Hurricane
HW,High Wind
HY,Hydrologic
HZ,Hard Freeze
IP,Sleet
IS,Ice Storm
LB,Lake Effect Snow and Blowing Snow
LE,Lake Effect Snow
LO,Low Water
LS,Lakeshore Flood
LW,Lake Wind
MA,Marine
MF,Marine Dense Fog
MH,Marine Ashfall
MS,Marine Dense Smoke
RB,Small Craft for Rough
RP,Rip Currents
SB,Snow and Blowing
SC,Small Craft
SE,Hazardous Seas
SI,Small Craft for Winds
SM,Dense Smoke
SN,Snow
SQ,Snow Squall
SR,Storm
SS,Storm Surge
SU,High Surf
SV,Severe Thunderstorm
SW,Small Craft for Hazardous Seas
TI,Inland Tropical Storm
TO,Tornado
TR,Tropical Storm
TS,Tsunami
TY,Typhoon
WC,Wind Chill
WI,Wind
WS,Winter Storm
WW,Winter Weather
ZF,Freezing Fog
ZR,Freezing Rain
